"customer_id","outage_sec_week","yrly_equip_failure","timely_replacements"
"K798113","10.15639","No",5
"P89048","10.15947","Yes",4
"L717330","10.15999","No",5
"Y795644","10.16142541","No",3
"P849493","10.16253","Yes",4
"Y481533","10.16254","No",4
"J434777","10.16305189","Yes",4
"L10400","10.16339628","No",4
"K861096","10.16394","No",2
"L490795","10.16834","No",4
"I288648","10.16935","No",4
"M407052","10.16994","Yes",3
"U998688","10.17097","No",4
"Q662651","10.17293","No",3
"D500075","10.17344","Yes",5
"M505731","10.17359","No",4
"K578181","10.17393","Yes",2
"Z567552","10.17406","No",3
"V316925","10.1755","No",5
"P964793","10.17557","Yes",2
"W893206","10.1755818","No",4
"Z637015","10.17608","No",4
"U207712","10.17641","No",2
"D322615","10.17652","No",4
"D994982","10.17943","Yes",3
"Z83977","10.18012","No",5
"Y259927","10.18046877","No",5
"M460547","10.18103","No",4
"K640928","10.18198","No",4
"N277250","10.18302","No",5
"P899811","10.18517","No",4
"T500134","10.18788","No",6
"Q605275","10.1879","No",3
"S255098","10.18921185","No",5
"I249423","10.18947","No",3
"O181876","10.1896","No",5
"P778970","10.18997","No",4
"B968082","10.19024","No",3
"O969309","10.19102","No",4
"Q985321","10.19121","No",3
"E261748","10.19137","Yes",4
"P359684","10.1937","Yes",3
"C384120","10.19444","No",3
"N682283","10.19477","Yes",4
"M267477","10.19528","No",2
"O608143","10.19629","Yes",2
"C215264","10.19664","Yes",6
"M429173","10.19731","No",4
"I250439","10.19732","No",3
"M170761","10.19738","No",4
"P781692","10.19811","No",4
"W317275","10.19981","No",3
"H88477","10.20056","Yes",6
"T727607","10.20077","No",6
"M108185","10.20091","No",4
"P01863","10.20182","Yes",4
"Z988959","10.20203","Yes",4
"Z772310","10.20247","Yes",3
"R610483","10.20264","No",4
"A379980","10.20266008","Yes",2
"M494039","10.20316","No",6
"X378242","10.20337","Yes",4
"E43004","10.20451845","Yes",4
"B93818","10.20518","No",2
"M132319","10.20539198","No",4
"M224623","10.20567","Yes",5
"A241767","10.20595","Yes",5
"T384862","10.20766","No",2
"E172755","10.20829","Yes",5
"G941019","10.209012","Yes",4
"C110005","10.20965","No",4
"M812363","10.2098","Yes",4
"V838270","10.21011328","No",4
"U638010","10.21124","Yes",3
"T273994","10.2122","No",4
"C315562","10.21228","Yes",3
"Y627704","10.21293","No",4
"D281561","10.21358","No",2
"E970987","10.21363","No",4
"O256047","10.21389","Yes",3
"K155403","10.21513","No",5
"C512310","10.21531","No",4
"T522390","10.21682783","No",3
"X52150","10.21764","No",4
"R938984","10.21912","No",2
"O508292","10.21959","No",4
"E987442","10.22013704","No",2
"O919870","10.22095","Yes",4
"J137993","10.2213","Yes",5
"V630948","10.22148","Yes",3
"M740803","10.22159613","No",5
"Q14524","10.22177","Yes",3
"J782266","10.22188","Yes",1
"W817414","10.22727","No",3
"I890523","10.22821","No",4
"D367103","10.22828","Yes",3
"C67850","10.23011","No",4
"B475008","10.23096","No",2
"V505906","10.23339712","No",4
"X508400","10.23482","Yes",2
"T101606","10.23565","No",3
"M709771","10.23585","No",2
"R338988","10.23625","Yes",2
"Q756941","10.23789","No",5
"I79242","10.23826","Yes",4
"V859534","10.2408","No",2
"I347202","10.24188","Yes",1
"Z884144","10.24268185","No",2
"U280332","10.24287","Yes",5
"W980288","10.24327363","No",3
"I761104","10.24432","No",4
"I459228","10.24503","No",5
"E923432","10.24775","No",6
"K100436","10.24782033","No",3
"O878720","10.24788","No",4
"R832538","10.24791","No",3
"V549313","10.24857935","No",1
"Z858434","10.24939","No",4
"I685889","10.25011","Yes",4
"H530265","10.25116","No",2
"O236581","10.25189","No",3
"C137039","10.25266403","No",5
"Q156955","10.25287","Yes",4
"S571014","10.25311","Yes",4
"K447350","10.25329","No",4
"E47652","10.25342","Yes",3
"D820355","10.25356","Yes",3
"Z688558","10.25523","No",3
"Q804547","10.25642","No",4
"P763257","10.25643","No",4
"T456294","10.25645","No",3
"Q378447","10.25704","Yes",4
"V134244","10.25863","Yes",2
"F474662","10.259","Yes",3
"T739016","10.25971","No",3
"S968318","10.26124","No",3
"Z710444","10.26142","No",4
"Q785217","10.26151","Yes",2
"E249276","10.26191","No",4
"H928939","10.26236","No",5
"L282757","10.26519974","No",3
"D515341","10.26646787","No",2
"U191359","10.26686","No",3
"Z256378","10.26758","No",2
"P486704","10.26788","No",3
"Q806598","10.26872","No",3
"R30489","10.2689","Yes",3
"F05516","10.26897415","No",4
"Y510046","10.26971","Yes",4
"Z478802","10.27024","No",4
"E820218","10.27047","Yes",5
"L98574","10.27072","Yes",2
"M993150","10.27122446","No",4
"H187434","10.27136063","No",3
"Y214211","10.27233","Yes",1
"W131371","10.27395","No",6
"V76718","10.27416","No",3
"H372061","10.27532","No",5
"S477204","10.27543","No",4
"S487434","10.27753","No",4
"C469303","10.27807","No",4
"M826178","10.27858","No",5
"O230445","10.2793","No",4
"J874338","10.27957","No",2
"M318063","10.28022332","No",3
"Z655607","10.28039766","No",4
"E781539","10.28049","Yes",5
"H100331","10.28292","No",4
"R945498","10.2831545","Yes",4
"I940654","10.28464","Yes",3
"Z122947","10.28547","Yes",3
"G954415","10.2863601","Yes",4
"L447145","10.28699","No",2
"S664476","10.28781284","No",2
"W309935","10.28840622","No",2
"G873962","10.28871","Yes",2
"F552828","10.28906","No",2
"Q698456","10.28962","Yes",4
"P616131","10.28991","No",2
"I58563","10.2900353","Yes",2
"H548788","10.2902","No",5
"Q359434","10.29073","Yes",4
"P67575","10.29101591","Yes",4
"Q824410","10.29117","Yes",6
"O288038","10.29131","Yes",4
"K583807","10.29175","No",5
"J314399","10.29324","Yes",5
"X852253","10.29380879","No",3
"Z680350","10.29493","No",2
"H433038","10.29519","No",3
"K314149","10.29598","No",5
"W952186","10.29605","No",4
"G20890","10.29679","No",2
"H329436","10.29854","No",5
"Z827010","10.30058","Yes",6
"N627924","10.30083","No",5
"C667596","10.30107","No",2
"M153274","10.30116","No",5
"H10198","10.30129","No",3
"U172635","10.30157","Yes",2
"F963617","10.30211","No",7
"R931562","10.30218","Yes",3
"I792144","10.30256804","Yes",4
"H978429","10.30393","Yes",3
"N171571","10.30417","Yes",4
"R42493","10.3045","No",4
"X103902","10.30488","Yes",2
"S767854","10.30493","No",4
"C155482","10.30529","Yes",3
"Z41986","10.30581","No",3
"C436821","10.30722","No",2
"U635749","10.30752","No",6
"Z786235","10.30846","No",4
"K292470","10.3085","No",4
"H714009","10.30866","No",4
"B894308","10.30981","Yes",3
"V116127","10.31007","No",5
"T664511","10.31019","No",4
"F781849","10.31021","Yes",3
"E177109","10.31027","No",3
"C908760","10.31058","No",3
"O84683","10.31104","Yes",1
"X213581","10.31167","No",5
"K513268","10.31317","Yes",3
"W693810","10.31335","No",5
"R464272","10.31551212","Yes",3
"T191927","10.31648","No",3
"F990377","10.31682421","No",3
"L113911","10.31702","No",4
"F318775","10.31760367","No",3
"W971937","10.31889","Yes",3
"W778119","10.31976","Yes",5
"A69660","10.32042","No",4
"F997820","10.32279","No",3
"H173763","10.3229","Yes",4
"M238722","10.32391","No",3
"L61634","10.32418","No",5
"X955722","10.32568","No",3
"V109553","10.32744663","Yes",3
"G610690","10.32772","No",4
"N229807","10.32806","Yes",4
"I647064","10.32976","Yes",2
"G255435","10.33061","No",6
"X277511","10.33083","No",4
"A273212","10.33234","No",4
"S281020","10.33351","No",3
"Y706239","10.33803214","No",3
"B599924","10.33885","No",3
"I340772","10.34109","No",2
"Y858758","10.34133","No",4
"P854464","10.34140063","Yes",3
"H179945","10.34145","No",5
"Z891443","10.34204","No",4
"X669555","10.34257","No",4
"F851755","10.34418","No",1
"S112154","10.34444","No",4
"Q200925","10.34504","No",3
"L628548","10.34631","No",1
"U532782","10.34638","Yes",2
"L859969","10.34662","No",4
"U270597","10.34686","No",5
"I175937","10.34703","Yes",3
"W944417","10.34705","Yes",5
"D123626","10.34783","No",4
"G851746","10.34957334","Yes",4
"U151000","10.34966","No",2
"E548977","10.35052","No",3
"H682725","10.35114","Yes",4
"P560448","10.35157","No",2
"R409216","10.35163","No",5
"R723551","10.35181","Yes",3
"U987101","10.35374","No",4
"A661671","10.35392","No",3
"L414924","10.35475","No",4
"Z481614","10.35484","No",3
"P263005","10.35485","No",6
"O307232","10.35503587","No",2
"T209311","10.35534","Yes",3
"O585815","10.35591","Yes",4
"L730499","10.35594","No",3
"N822972","10.35620722","No",3
"J518748","10.35743","Yes",3
"F18401","10.35811","No",2
"J528795","10.35866414","No",4
"M545168","10.35877","No",4
"D194859","10.35914","Yes",4
"S589285","10.35922638","No",3
"U517091","10.35968528","No",5
"N818917","10.36003643","No",4
"Z262787","10.36027","Yes",3
"H773130","10.3617","No",2
"C367217","10.36212","No",3
"E750964","10.36244","No",2
"I583475","10.36494","No",5
"G313221","10.36513","No",3
"B36217","10.36617","No",4
"U784524","10.36633","Yes",2
"R540763","10.36695","No",4
"E602471","10.36729","Yes",6
"Y780102","10.36876","No",4
"D877929","10.36909","No",4
"U409049","10.37097","Yes",4
"C647303","10.37246","Yes",3
"V205649","10.37357","Yes",4
"H350868","10.37579","No",3
"A508226","10.37611","No",3
"P318419","10.377","No",3
"Q611025","10.37741","No",3
"G313318","10.37839","No",3
"G916594","10.37854","No",4
"U200056","10.37913","No",3
"D238077","10.37937","Yes",5
"O763178","10.3803815","Yes",5
"L507374","10.38163","No",3
"J706158","10.38191","No",2
"E398773","10.38217336","No",3
"B539992","10.38237508","Yes",3
"J902837","10.3827","No",6
"O148559","10.38278","Yes",3
"T42915","10.38318","No",4
"T982698","10.38427","No",3
"A647291","10.38436","Yes",4
"F506160","10.38437058","Yes",5
"P651840","10.3853182","No",5
"O466894","10.38533","No",3
"G707517","10.3868905","No",4
"I229526","10.38714","No",3
"S238589","10.38784781","Yes",3
"Y13900","10.38794","No",4
"C250137","10.38882","Yes",3
"M706056","10.38895","No",3
"J491267","10.3891","No",3
"F153950","10.38934","No",4
"E267017","10.38958279","No",5
"V207992","10.39064","No",4
"D381287","10.3909","Yes",4
"T643468","10.39103","No",3
"R279593","10.39104","No",6
"M956795","10.39268","Yes",3
"R30010","10.39432745","No",4
"X449851","10.39446","No",3
"X534508","10.39457","No",6
"J703724","10.39479","Yes",3
"K886172","10.39492135","No",1
"X666934","10.39540448","No",3
"B440428","10.39631","Yes",6
"C354137","10.39695","No",3
"Q597296","10.39931","No",4
"R736548","10.39942085","Yes",2
"T44170","10.39968","No",6
"S219932","10.40005","No",5
"P545768","10.40023","No",4
"D728807","10.4009592","Yes",4
"Z808995","10.40233023","No",3
"H515536","10.40270813","No",3
"S11116","10.40407","No",3
"K38297","10.40439","Yes",3
"B483014","10.40481","No",4
"V750894","10.40504","Yes",3
"E101429","10.4055","No",4
"C615849","10.40646","No",3
"Q19503","10.40664","No",2
"N374641","10.40677369","No",3
"T618453","10.40864","No",5
"W375700","10.40897","Yes",3
"L980608","10.40927","No",4
"F814308","10.40994","No",5
"D941538","10.41068","No",3
"E674988","10.41154","No",3
"N602492","10.41218","Yes",2
"E323879","10.41254","Yes",2
"T504980","10.41256","No",4
"X365608","10.41328888","Yes",4
"F405951","10.41446","No",3
"G864744","10.41502","No",2
"O848423","10.41772","No",4
"G454055","10.41941","No",4
"W558522","10.41978703","No",3
"A787794","10.42188","No",4
"G292619","10.42239","No",2
"Q213577","10.4229","No",3
"C951645","10.42305","No",5
"T54891","10.42329","No",2
"O465631","10.42441","No",2
"Q417407","10.42511","No",5
"E11476","10.42544","No",4
"W799177","10.4255","No",5
"V37260","10.42690816","No",2
"K489730","10.42719","No",2
"Y93277","10.42801","Yes",4
"B428830","10.42876","Yes",1
"Q878659","10.42906","No",2
"X782335","10.42980353","No",4
"U05301","10.43043","No",3
"B72873","10.43098","No",4
"Y767080","10.43105","Yes",4
"R986544","10.43299","No",2
"W949462","10.43343891","Yes",3
"D886128","10.43377","Yes",4
"C523628","10.43502","No",4
"X788909","10.43511467","No",4
"G262368","10.43623772","Yes",4
"B140147","10.43682","No",5
"A955987","10.43721","Yes",3
"S530763","10.43871","No",3
"J653677","10.43971","No",4
"E855093","10.44008","No",3
"K963843","10.44139","No",3
"T484755","10.44249511","No",2
"I902249","10.44399","No",5
"N452057","10.444","No",6
"R294804","10.44715","Yes",4
"A629515","10.4476","No",5
"P626190","10.44765","No",4
"W424467","10.44775","Yes",4
"S197399","10.44859","No",4
"Q301443","10.45011354","No",5
"H304203","10.45012","Yes",5
"U586559","10.45028","No",4
"S396173","10.45045","No",3
"H620644","10.4523599","Yes",2
"W286676","10.45334","No",5
"N352428","10.45355154","No",5
"A544408","10.45406","Yes",5
"B369234","10.45413","No",3
"G490319","10.45427","Yes",4
"W385252","10.45502","No",4
"Y654641","10.45539","Yes",4
"M786135","10.45992","Yes",2
"N271219","10.4603","No",3
"B626230","10.46074","No",4
"A70661","10.46147","No",3
"L686238","10.46363","No",4
"W269326","10.46391733","No",3
"B644010","10.46515","Yes",5
"N308609","10.46668","Yes",3
"A79548","10.46708","No",4
"L307672","10.46718","Yes",4
"X422065","10.4673283","No",3
"Q253167","10.46768","Yes",3
"T897383","10.46793","No",3
"N886555","10.46818","No",2
"X868309","10.46827","Yes",3
"S681809","10.46838","No",3
"T994784","10.46924","Yes",2
"C501850","10.47027","No",2
"B329338","10.4704","Yes",3
"A879207","10.47189661","Yes",5
"C526917","10.47234","Yes",5
"G890475","10.47288","No",3
"G668616","10.47355","No",4
"C203739","10.4737","No",4
"S441269","10.47394","Yes",4
"E590504","10.47477","Yes",2
"C543107","10.47542","No",5
"X672018","10.47559","No",5
"V739331","10.47636","No",2
"K834421","10.4766784","No",5
"E614090","10.47687","Yes",6
"I873153","10.47784","Yes",3
"Y247582","10.47958917","No",4
"K156290","10.47981","No",4
"V420683","10.47985","No",2
"T849288","10.48089","No",3
"F902621","10.48123205","No",4
"X412171","10.48202","Yes",4
"S455794","10.48235","No",4
"Y786322","10.48393458","No",2
"R976797","10.48505","No",5
"S184861","10.48756","Yes",4
"D321119","10.48815","No",3
"E518596","10.48875","No",5
"C710932","10.48875","No",3
"J541237","10.4889","No",3
"Z784446","10.49267","No",3
"L246688","10.49348","Yes",2
"O402306","10.49495185","No",3
"O955596","10.49575","No",4
"Z976510","10.4962468","No",4
"V342335","10.49636","No",3
"E898891","10.49734","No",5
"L729864","10.49746","No",5
"S707194","10.49766","No",4
"N422027","10.49797","No",3
"A642624","10.49813","Yes",5
"U515711","10.49877","No",5
"J511617","10.49951","No",4
"R313998","10.50011","No",3
"A219935","10.50151","Yes",3
"G864898","10.50187888","No",4
"R829775","10.50347629","Yes",3
"I567163","10.50405","No",3
"H286080","10.50442","No",4
"H19974","10.5045","No",4
"T179156","10.50519","No",3
"C822766","10.50752","No",3
"P214554","10.50809","No",4
"I664915","10.50958","Yes",4
"P452772","10.51043963","No",3
"J916027","10.51064","Yes",5
"K364420","10.51064826","Yes",3
"I756693","10.51096","Yes",3
"D84259","10.51097693","No",5
"J970468","10.5114","No",4
"H24863","10.51146","Yes",3
"Z929463","10.5117","No",2
"P651891","10.51222","Yes",1
"H885464","10.51343586","No",2
"B450609","10.51358","No",3
"M746958","10.51378","No",3
"B528021","10.51434","No",4
"U429147","10.51502","No",2
"R860464","10.51532824","No",3
"W61708","10.51538905","Yes",3
"L497911","10.51656","No",4
"E54750","10.51705","No",2
"E204987","10.51765","Yes",3
"Z964652","10.51853461","No",5
"B565042","10.51882","No",3
"X106152","10.51892","No",3
"O326088","10.5195","Yes",3
"L593610","10.51982","Yes",3
"O816378","10.52017","No",1
"J957601","10.52034","No",4
"H130516","10.52082","Yes",3
"E964588","10.52149","No",2
"P484759","10.52187","No",5
"T302615","10.522","No",4
"Z38983","10.52545349","Yes",3
"M772976","10.52558","No",2
"W136734","10.52577","No",3
"S312870","10.52728","No",5
"C657224","10.52752198","No",3
"V191422","10.52806","No",2
"G851411","10.52838","No",4
"D553060","10.52956","No",6
"K133355","10.53236725","No",3
"J648554","10.5336786","Yes",4
"Y567471","10.53369","Yes",2
"W938798","10.53385","Yes",4
"O128322","10.5339","No",4
"K421567","10.53533","No",2
"J122044","10.53608","No",4
"Z578102","10.53761","No",3
"I496795","10.53777","No",4
"E617210","10.53794","No",2
"G898600","10.53808","No",4
"Q277283","10.5394","No",3
"M657295","10.53942","No",5
"N508508","10.53982","No",4
"N51485","10.54","No",3
"U358684","10.54343","Yes",3
"X863186","10.54347","No",5
"S337666","10.5436","No",1
"L440081","10.54374","No",5
"N524531","10.54543","Yes",4
"X946359","10.54611","No",3
"V676238","10.54615588","No",3
"L493737","10.54632","No",4
"K472914","10.54741","No",2
"M234182","10.54776","Yes",4
"B382760","10.55058","No",3
"L159194","10.55112","Yes",4
"T997976","10.55184","Yes",3
"B584686","10.55283","No",4
"H248782","10.55385","No",3
"W593299","10.55414085","No",4
"P303767","10.55487","No",4
"S986781","10.55534","No",3
"V739636","10.55549","No",2
"J295799","10.55554","No",3
"N851276","10.5572","No",3
"R542144","10.55797","Yes",3
"B905965","10.55807","No",2
"P897691","10.55912151","Yes",4
"D843552","10.55942","No",4
"B525987","10.56199","No",4
"G216510","10.56362","No",6
"L608283","10.56544","No",2
"D981634","10.56558","Yes",5
"E108315","10.56592379","No",3
"K783774","10.56609","Yes",3
"I311125","10.56625","No",4
"K940748","10.56770254","No",4
"L10778","10.56812","No",3
"F266865","10.56832","No",3
"B166979","10.56848","No",5
"F937361","10.5694","Yes",2
"K559003","10.57011","No",3
"P125179","10.57287","Yes",3
"W52065","10.5758","No",2
"K123613","10.57626","No",3
"P304986","10.57648","No",5
"I169796","10.57671","Yes",3
"Q713051","10.57721","No",3
"E688523","10.5775","Yes",5
"T601214","10.57865","No",4
"R944888","10.57898048","Yes",4
"C289581","10.5792","No",4
"N386981","10.57996614","No",3
"B969696","10.5802","No",4
"A145480","10.58093125","Yes",3
"J792155","10.58136361","Yes",4
"O495486","10.58203","Yes",5
"S257413","10.58255","Yes",5
"D53689","10.58295","No",3
"Y490834","10.58349704","No",2
"E698741","10.58398","No",5
"X657705","10.58433","No",2
"V593517","10.58549","No",2
"T824376","10.58554141","No",3
"C585619","10.58605","Yes",4
"L485651","10.58648","Yes",5
"R28109","10.58651971","Yes",3
"R963388","10.58657","Yes",4
"V262977","10.58657312","No",2
"M506093","10.58659","No",2
"G48472","10.5871","Yes",2
"A206123","10.5873","No",2
"P574000","10.58797","No",4
"L463700","10.58815","No",5
"P650282","10.58898","Yes",4
"J274180","10.58941533","No",4
"E178106","10.59251","No",3
"P954849","10.59285179","Yes",2
"O821612","10.59311","Yes",3
"E753547","10.59431","Yes",2
"X244616","10.59582","No",4
"P937306","10.59857436","Yes",5
"V224713","10.59864","No",4
"O886055","10.59909","No",2
"P628955","10.59942","No",4
"A472924","10.60274","Yes",3
"O463456","10.60332","No",3
"H185700","10.6054","No",3
"D289914","10.60544","Yes",3
"M892824","10.60642","No",3
"D248807","10.60642","No",4
"K492175","10.60652","Yes",1
"C17948","10.60676299","Yes",3
"R692612","10.60701919","No",5
"F958984","10.6092","No",3
"B947503","10.60927","No",4
"K194475","10.60962","No",3
"A393225","10.61107","No",3
"O17401","10.61217014","No",3
"T629485","10.61307","Yes",4
"E645811","10.61363","Yes",1
"P401786","10.61552","No",4
"L809272","10.61585","No",2
"X499025","10.61597","No",5
"H696459","10.617244","No",2
"Z686376","10.61771118","No",3
"S788823","10.61778","No",3
"U736350","10.61869","No",2
"S952248","10.61878","No",3
"J04574","10.62019312","No",3
"S469701","10.62065","No",5
"H433120","10.62160932","Yes",2
"X674028","10.62232","No",2
"D598850","10.6224092","No",2
"R433697","10.6233","Yes",4
"N901954","10.62357","No",5
"P362205","10.62427045","Yes",6
"D478815","10.62439366","No",4
"N956188","10.62473397","Yes",4
"O412041","10.62558","No",4
"G374414","10.62573","No",5
"F122731","10.62687","No",3
"O928783","10.62745","No",3
"L937805","10.62755","No",2
"J898084","10.62793","No",4
"Q532087","10.62896","No",4
"E704237","10.62932","No",2
"K696568","10.63058","No",5
"Y749452","10.63248","No",4
"F700951","10.63472","No",4
"Z999359","10.63561","No",3
"K865506","10.63565","No",5
"H669815","10.63592827","No",3
"W959493","10.63657","Yes",1
"N231414","10.63665","Yes",5
"P576658","10.63698","No",4
"W270130","10.63783","Yes",4
"H842993","10.63877","No",3
"C838302","10.63881","No",5
"C602006","10.63959","No",4
"H483436","10.64008","Yes",4
"O575002","10.64089","No",4
"N513478","10.64116","No",4
"J534989","10.64125","No",4
"J791834","10.64177468","Yes",5
"N302415","10.64291697","Yes",3
"J552619","10.64343","No",4
"J336967","10.64353","Yes",5
"N171241","10.64368","No",4
"A727653","10.64385","No",5
"O440485","10.6443","No",4
"M251973","10.64494","No",4
"K901994","10.64504","No",3
"K25529","10.64577","No",4
"A155369","10.64786","No",3
"S144940","10.64974","No",3
"T208691","10.6510171","Yes",3
"M404332","10.6514","No",1
"Z153038","10.65169","No",3
"L139786","10.65214","No",3
"T547742","10.653","Yes",5
"N147701","10.65341","Yes",4
"B110833","10.65361","No",3
"C230660","10.65375","No",3
"P340852","10.65674","Yes",4
"C749771","10.65683","Yes",3
"R723405","10.65731963","Yes",4
"W565969","10.65786656","No",7
"H305043","10.65970319","No",4
"T568788","10.65972","No",4
"O463102","10.66015784","No",4
"S838605","10.66071","No",5
"U489831","10.66077","Yes",3
"R40372","10.66131","Yes",3
"U136415","10.6619","No",4
"Q17056","10.66234","Yes",4
"Z462095","10.66271","Yes",4
"E348990","10.66418","Yes",4
"V599639","10.66439","Yes",5
"Y857689","10.66687","No",4
"P308042","10.66691","No",4
"W208663","10.66709","Yes",4
"Y71861","10.66732","No",4
"D296668","10.66838","No",2
"W518389","10.67064745","Yes",4
"A531249","10.67112794","No",3
"X707597","10.67296","No",4
"V910733","10.67355","No",4
"E920808","10.67431","No",5
"L690894","10.67464","Yes",5
